"","Gender","Cancer type","Stage","HR","cfDNA status","50-54","55-59","60-64","65-69","70-74","75-79"
"1","Female","Anus","I","1","negative",1,1,1,1,1,1
"2","Female","Anus","I","1andhalf","negative",1,1,1,1,1,1
"3","Female","Anus","I","3","negative",0,1,1,1,1,1
"4","Female","Anus","I","1","positive",1,1,1,1,1,1
"5","Female","Anus","I","1andhalf","positive",1,1,1,1,1,1
"6","Female","Anus","I","3","positive",1,1,1,1,1,1
"7","Female","Anus","II","1","negative",1,1,1,1,1,1
"8","Female","Anus","II","1andhalf","negative",1,1,1,1,1,1
"9","Female","Anus","II","3","negative",1,1,1,1,1,1
"10","Female","Anus","II","1","positive",1,1,1,1,1,1
"11","Female","Anus","II","1andhalf","positive",1,1,1,1,1,1
"12","Female","Anus","II","3","positive",1,1,1,1,1,1
"13","Female","Anus","III","1","negative",1,1,1,1,1,1
"14","Female","Anus","III","1andhalf","negative",1,1,1,1,1,1
"15","Female","Anus","III","3","negative",1,1,1,1,1,1
"16","Female","Anus","III","1","positive",1,1,1,1,1,1
"17","Female","Anus","III","1andhalf","positive",1,1,1,1,1,1
"18","Female","Anus","III","3","positive",1,1,1,1,1,1
"19","Female","Anus","IV","1","negative",1,1,1,1,1,1
"20","Female","Anus","IV","1andhalf","negative",1,1,1,1,1,1
"21","Female","Anus","IV","3","negative",1,1,1,1,1,1
"22","Female","Anus","IV","1","positive",1,1,1,1,1,1
"23","Female","Anus","IV","1andhalf","positive",1,1,1,1,1,1
"24","Female","Anus","IV","3","positive",1,1,1,1,1,1
"25","Female","Bladder","I","1","negative",1,1,1,1,1,1
"26","Female","Bladder","I","1andhalf","negative",1,1,1,1,1,1
"27","Female","Bladder","I","3","negative",1,1,1,1,1,1
"28","Female","Bladder","I","1","positive",1,1,1,1,1,1
"29","Female","Bladder","I","1andhalf","positive",1,1,1,1,1,1
"30","Female","Bladder","I","3","positive",1,1,1,1,1,1
"31","Female","Bladder","II","1","negative",1,1,1,1,1,1
"32","Female","Bladder","II","1andhalf","negative",1,1,1,1,1,1
